Input Type,n,Trial,Algorithm,Time,Comparisons,Swaps/Data Movements,Recursive Calls,Max Recursion Depth,Peak Memory Bytes,Constant c
random,100,1,Heap Sort,0.0028591000009328127,1038,580,630,7,1376,4.303374304418467e-06
random,100,1,Merge Sort,0.0013231999473646283,545,672,199,8,3736,1.9916143720887713e-06
random,100,1,Quick Sort,0.0009044000180438161,598,226,131,12,1544,1.3612576675511724e-06
random,100,2,Heap Sort,0.0034213000908493996,1021,579,629,7,1352,5.149569757567866e-06
random,100,2,Merge Sort,0.003155000042170286,549,672,199,8,3744,4.748748245071909e-06
random,100,2,Quick Sort,0.0010101000079885125,763,331,133,15,1472,1.5203520051248467e-06
random,100,3,Heap Sort,0.003113500075414777,1036,595,645,7,1200,4.686284571009578e-06
random,100,3,Merge Sort,0.0030954000540077686,528,672,199,8,4152,4.659041324181229e-06
random,100,3,Quick Sort,0.001321299932897091,578,225,137,12,1544,1.9887545653541497e-06
random,100,4,Heap Sort,0.00657659990247339,1029,582,632,7,1352,9.898769200626519e-06
random,100,4,Merge Sort,0.001715300022624433,545,672,199,8,4152,2.5817837918653e-06
random,100,4,Quick Sort,0.0006896998966112733,674,251,133,13,1544,1.0381017844316994e-06
random,100,5,Heap Sort,0.007746300077997148,1017,579,629,7,1352,1.1659343394456894e-05
random,100,5,Merge Sort,0.002037599915638566,539,672,199,8,4152,3.06689346884803e-06
random,100,5,Quick Sort,0.0007609999738633633,702,331,131,14,1576,1.1454190941618903e-06
random,100,6,Heap Sort,0.002348099951632321,1034,582,632,7,1352,3.53424259129236e-06
random,100,6,Merge Sort,0.001296799979172647,537,672,199,8,4152,1.9518784605369644e-06
random,100,6,Quick Sort,0.0008138000266626477,658,297,127,13,1576,1.2248910924880233e-06
random,100,7,Heap Sort,0.001850700005888939,1024,583,633,7,1352,2.7855810737403863e-06
random,100,7,Merge Sort,0.0013085000682622194,544,672,199,8,4152,1.9694888493764753e-06
random,100,7,Quick Sort,0.0007551000453531742,686,311,137,13,1576,1.1365388168926904e-06
random,100,8,Heap Sort,0.0021822999697178602,1026,577,627,7,1352,3.284688752108369e-06
random,100,8,Merge Sort,0.0017165999161079526,543,672,199,8,4152,2.5837403265138376e-06
random,100,8,Quick Sort,0.00057050003670156,607,269,135,13,1576,8.586881178728587e-07
random,100,9,Heap Sort,0.005271600093692541,1027,576,626,7,1352,7.934548766732543e-06
random,100,9,Merge Sort,0.0012538000009953976,537,672,199,8,4152,1.8871570443157209e-06
random,100,9,Quick Sort,0.0007425000658258796,608,272,131,14,1576,1.1175739579803515e-06
random,100,10,Heap Sort,0.0023129000328481197,1020,565,615,7,1352,3.4812614342974577e-06
random,100,10,Merge Sort,0.001257800031453371,533,672,199,8,4152,1.8931776900728187e-06
random,100,10,Quick Sort,0.0006465999176725745,722,281,133,14,1576,9.732298520665286e-07
random,200,1,Heap Sort,0.006606799899600446,2472,1365,1465,8,2064,4.321640632406481e-06
random,200,1,Merge Sort,0.005201199906878173,1275,1544,399,9,6760,3.4022094200541602e-06
random,200,1,Quick Sort,0.004524699994362891,1546,708,259,16,2408,2.959697227438446e-06
random,200,2,Heap Sort,0.005683300085365772,2445,1356,1456,8,2064,3.7175608385780397e-06
random,200,2,Merge Sort,0.004186199977993965,1283,1544,399,9,6368,2.7382775617847793e-06
random,200,2,Quick Sort,0.0024395999498665333,1548,733,267,14,2360,1.595791371068712e-06
random,200,3,Heap Sort,0.005744399968534708,2469,1363,1463,8,2144,3.7575275004643983e-06
random,200,3,Merge Sort,0.005190300056710839,1304,1544,399,9,6656,3.3950796089374135e-06
random,200,3,Quick Sort,0.002319499966688454,1445,580,269,15,2216,1.5172315576732568e-06
random,200,4,Heap Sort,0.007293600006960332,2448,1347,1447,8,2200,4.77089038953733e-06
random,200,4,Merge Sort,0.004045499954372644,1281,1544,399,9,6760,2.6462428478078626e-06
random,200,4,Quick Sort,0.0067483000457286835,1697,615,265,19,2408,4.414198722600226e-06
random,200,5,Heap Sort,0.009696500026620924,2453,1368,1468,8,2200,6.342675598470865e-06
random,200,5,Merge Sort,0.004843599977903068,1287,1544,399,9,6760,3.1682961175946824e-06
random,200,5,Quick Sort,0.003279400058090687,1803,835,261,17,2408,2.145121504560472e-06
random,200,6,Heap Sort,0.006971700000576675,2448,1353,1453,8,2200,4.560329124128997e-06
random,200,6,Merge Sort,0.00586280005518347,1275,1544,399,9,6760,3.834975377366601e-06
random,200,6,Quick Sort,0.002579400083050132,1485,763,259,16,2408,1.687237448619602e-06
random,200,7,Heap Sort,0.008423099992796779,2459,1371,1471,8,2200,5.509719036881187e-06
random,200,7,Merge Sort,0.007445499999448657,1265,1544,399,9,6760,4.8702512283058055e-06
random,200,7,Quick Sort,0.0037339000264182687,1580,557,267,17,2408,2.4424190707650614e-06
random,200,8,Heap Sort,0.007298200041987002,2444,1339,1439,8,2200,4.773899364923878e-06
random,200,8,Merge Sort,0.004096500109881163,1275,1544,399,9,6760,2.6796030747943027e-06
random,200,8,Quick Sort,0.004120300058275461,1503,661,259,16,2408,2.6951710994950657e-06
random,200,9,Heap Sort,0.012694699922576547,2468,1374,1474,8,2200,8.303858423944707e-06
random,200,9,Merge Sort,0.005801500054076314,1280,1544,399,9,6760,3.7948778143138334e-06
random,200,9,Quick Sort,0.002677000011317432,1600,744,267,17,2408,1.7510795237739338e-06
random,200,10,Heap Sort,0.008032700046896935,2441,1356,1456,8,2200,5.254350583964656e-06
random,200,10,Merge Sort,0.0034799000713974237,1275,1544,399,9,6760,2.2762725939641087e-06
random,200,10,Quick Sort,0.0025255000218749046,1647,717,265,15,2408,1.6519803350390708e-06
random,300,1,Heap Sort,0.010657400009222329,4032,2210,2360,9,2988,4.3171040745420756e-06
random,300,1,Merge Sort,0.007596499985083938,2102,2488,599,10,9440,3.0771934064111133e-06
random,300,1,Quick Sort,0.006338999955914915,2548,1043,395,18,3864,2.5678047661269333e-06
random,300,2,Heap Sort,0.014313500025309622,4026,2221,2371,9,151226,5.798118605546392e-06
random,300,2,Merge Sort,0.012771499925293028,2095,2488,599,10,9440,5.1734845570012175e-06
random,300,2,Quick Sort,0.00474110001232475,2508,1124,403,16,3736,1.9205267854548895e-06
random,300,3,Heap Sort,0.010472900001332164,4005,2179,2329,9,3124,4.242366733809212e-06
random,300,3,Merge Sort,0.00656929996330291,2102,2488,599,10,9440,2.661094789903974e-06
random,300,3,Quick Sort,0.005651899962686002,2692,1043,401,16,3672,2.289474012113805e-06
random,300,4,Heap Sort,0.01633899996522814,4052,2234,2384,9,3124,6.618608972431386e-06
random,300,4,Merge Sort,0.008498799987137318,2097,2488,599,10,9440,3.442697470437346e-06
random,300,4,Quick Sort,0.00480039999820292,2673,1277,407,19,3800,1.944548048655426e-06
random,300,5,Heap Sort,0.010873700026422739,4026,2201,2351,9,3124,4.404722976410389e-06
random,300,5,Merge Sort,0.01135950000025332,2100,2488,599,10,9440,4.601511033968667e-06
random,300,5,Quick Sort,0.005353800021111965,3070,1345,395,21,3800,2.1687195625035443e-06
random,300,6,Heap Sort,0.014090399956330657,4026,2213,2363,9,3124,5.707745135845879e-06
random,300,6,Merge Sort,0.012569500016979873,2081,2488,599,10,9440,5.0916583492506196e-06
random,300,6,Quick Sort,0.006788600003346801,2567,1045,407,20,3736,2.7499289422864935e-06
random,300,7,Heap Sort,0.012997900019399822,4005,2191,2341,9,3124,5.265194802267358e-06
random,300,7,Merge Sort,0.008706199936568737,2100,2488,599,10,9440,3.5267111291135144e-06
random,300,7,Quick Sort,0.007055499940179288,2542,1073,399,19,4056,2.858044880864146e-06
random,300,8,Heap Sort,0.013067299965769053,4018,2212,2362,9,3124,5.293307361708155e-06
random,300,8,Merge Sort,0.007815700024366379,2113,2488,599,10,9440,3.165987050443159e-06
random,300,8,Quick Sort,0.005686499993316829,2369,943,399,14,3736,2.3034898070625136e-06
random,300,9,Heap Sort,0.01600139995571226,4024,2214,2364,9,3124,6.4818538186992135e-06
random,300,9,Merge Sort,0.007221600040793419,2087,2488,599,10,9440,2.925328779425014e-06
random,300,9,Quick Sort,0.004397199954837561,2388,952,391,15,3800,1.781219605642884e-06
random,300,10,Heap Sort,0.015977100003510714,4027,2212,2362,9,3124,6.472010383849279e-06
random,300,10,Merge Sort,0.008608000003732741,2098,2488,599,10,9440,3.4869322590514744e-06
random,300,10,Quick Sort,0.004632500000298023,2326,1130,409,15,3672,1.8765350469436017e-06
random,400,1,Heap Sort,0.017192400060594082,5710,3114,3314,9,3788,4.972433507434993e-06
random,400,1,Merge Sort,0.01327670004684478,2955,3488,799,10,11672,3.839923916871295e-06
random,400,1,Quick Sort,0.009871100075542927,3564,1483,539,16,4792,2.8549468717503575e-06
random,400,2,Heap Sort,0.019042599946260452,5702,3115,3315,9,151260,5.507553436852337e-06
random,400,2,Merge Sort,0.011985099990852177,2938,3488,799,10,11280,3.4663637755305285e-06
random,400,2,Quick Sort,0.009433900006115437,3441,1523,539,19,152303,2.7284986581785382e-06
random,400,3,Heap Sort,0.01732430001720786,5709,3112,3312,9,3924,5.010581977781424e-06
random,400,3,Merge Sort,0.012991299969144166,2962,3488,799,10,11672,3.7573797168537642e-06
random,400,3,Quick Sort,0.008212000015191734,3698,1810,541,18,4856,2.375097362478723e-06
random,400,4,Heap Sort,0.016822700039483607,5686,3091,3291,9,3924,4.865507844572909e-06
random,400,4,Merge Sort,0.009565000073052943,2959,3488,799,10,11672,2.7664157822199446e-06
random,400,4,Quick Sort,0.00821519992314279,3943,1940,537,21,4984,2.376022848708712e-06
random,400,5,Heap Sort,0.017215100000612438,5698,3106,3306,9,3924,4.978998846885344e-06
random,400,5,Merge Sort,0.013784700073301792,2946,3488,799,10,11672,3.9868490898797125e-06
random,400,5,Quick Sort,0.010553799918852746,4300,2199,525,20,4984,3.0523992090871997e-06
random,400,6,Heap Sort,0.02504619990941137,5688,3106,3306,9,3924,7.243931226852156e-06
random,400,6,Merge Sort,0.01217900007031858,2964,3488,799,10,11672,3.5224440929286177e-06
random,400,6,Quick Sort,0.009998399997130036,3446,1493,551,16,4792,2.891764907240611e-06
random,400,7,Heap Sort,0.018862200086005032,5711,3110,3310,9,3924,5.4553776902021246e-06
random,400,7,Merge Sort,0.011614999966695905,2959,3488,799,10,11672,3.359322422680951e-06
random,400,7,Quick Sort,0.009011700050905347,3796,1363,535,18,4920,2.6063888191377372e-06
random,400,8,Heap Sort,0.018322200048714876,5711,3118,3318,9,3924,5.299197385534126e-06
random,400,8,Merge Sort,0.01477770006749779,2958,3488,799,10,11672,4.274047295285614e-06
