Input Type,n,Algorithm,Avg_Time,Min_Time,Max_Time,Avg_Comparisons,Avg_Swaps_Data_Movements,Avg_Recursive_Calls,Avg_Max_Recursion_Depth,Avg_Peak_Memory_Bytes,Avg_Constant_c
duplicate_heavy,100,Heap Sort,0.0032320300000719727,0.0017553999787196517,0.007166000083088875,993.1,537.6,587.6,7.0,16399.2,4.8646898845376155e-06
duplicate_heavy,100,Merge Sort,0.0018552599940449,0.00159399991389364,0.0025472999550402164,535.3,672.0,199.0,8.0,4152.0,2.79244453981447e-06
duplicate_heavy,100,Quick Sort,0.0013681699987500907,0.0008786999387666583,0.002661600010469556,861.4,166.3,181.0,19.8,1544.0,2.059301043956645e-06
duplicate_heavy,200,Heap Sort,0.006860490003600716,0.005161199951544404,0.009769900003448129,2345.4,1252.1,1352.1,8.0,17229.7,4.487584429425866e-06
duplicate_heavy,200,Merge Sort,0.004712319991085678,0.0038439000491052866,0.006164999911561608,1251.3,1544.0,399.0,9.0,6736.0,3.0824232390644686e-06
duplicate_heavy,200,Quick Sort,0.003983150003477931,0.003180300001986325,0.004597300081513822,2754.6,392.1,381.0,31.5,2403.2,2.605458491491662e-06
duplicate_heavy,300,Heap Sort,0.012128099997062236,0.009845900000073016,0.01774060004390776,3848.9,2043.3,2193.3,9.0,17844.0,4.91285584368262e-06
duplicate_heavy,300,Merge Sort,0.007468060008250177,0.00673679995816201,0.009096900001168251,2047.3,2488.0,599.0,10.0,9400.8,3.025164886617984e-06
duplicate_heavy,300,Quick Sort,0.009615779982414096,0.007101799943484366,0.014129800023511052,5632.8,602.5,581.0,42.9,5182.4,3.895164196338464e-06
duplicate_heavy,400,Heap Sort,0.016051189973950386,0.01444699999410659,0.017602099920623004,5403.3,2853.5,3053.5,9.0,4009.5,4.642369569075602e-06
duplicate_heavy,400,Merge Sort,0.01130656999303028,0.009673599968664348,0.016279399977065623,2891.2,3488.0,799.0,10.0,11652.8,3.270117452441371e-06
duplicate_heavy,400,Quick Sort,0.019268450024537743,0.01613790006376803,0.0293969000922516,9642.0,823.4,781.0,53.2,6985.6,5.572874421294575e-06
